id	mass (Kg)	x0 (au)	y0 (au)	vx0 (au/day)	vy0 (au/day)
0	1.989e30	0	0	0	0
1	3.302e23	0.3083240304	-0.2675876914	0.0128726775	0.0225451404
2	4.8685e24	-0.5782373235	0.4247691032	-0.0120522629	-0.0164029925
3	5.972e24	-0.9284315306	0.3454175562	-0.0062791364	-0.0161974643
4	6.4185e23	0.9433808651	1.1297182078	-0.0102142674	0.0101662224
5	1.899e27	-5.2613311957	-1.4409733003	0.0019027741	-0.0069288514
6	5.6846e26	-1.5257153945	-9.932848094	0.005211705	-0.0008712423
7	8.6832e25	18.2132902503	8.1007826389	-0.0016236311	0.0034033631
8	1.0243e26	28.4330073978	-9.4013705916	0.0009672408	0.0029925353
9	1.303e22	10.0144497707927	-31.7715284939800	0.0030636263471	0.0002841771341
