id	mass (Kg)	x0 (au)	y0 (au)	z0 (au)	vx0 (au/day)	vy0 (au/day)	vz0 (au/day)
0	1.99E+30	0	0	0	0	0	0
1	3.285E+23	0.3083240304	-0.2675876914	-0.0501631296	0.0128726775	0.0225451404	0.0006491183
2	4.87E+24	-0.5782373235	0.4247691032	0.0391370336	-0.0120522629	-0.0164029925	0.0004745265
3	5.97E+24	-0.9284315306	0.3454175562	2.83E-06	-0.0062791364	-0.0161974643	6.12E-07
4	6.42E+23	0.9433808651	1.1297182078	0.0003698184	-0.0102142674	0.0101662224	0.0004639291
5	1.90E+27	-5.2613311957	-1.4409733003	0.123681059	0.0019027741	-0.0069288514	-1.34E-05
6	5.68E+26	-1.5257153945	-9.932848094	0.234524788	0.005211705	-0.0008712423	-0.0001918233
7	8.68E+25	18.2132902503	8.1007826389	-0.2060869964	-0.0016236311	0.0034033631	3.36E-05
8	1.02E+26	28.4330073978	-9.4013705916	-0.4585766016	0.0009672408	0.0029925353	-8.41E-05
9	1.31E+22	9.8381094435	-31.7874455861	0.553219266	0.0030675676	0.0002692843	-0.000915978

