Target, Date, X (au), Y (au), Z (au), Xp (au/day), Yp (au/day), Zp (au/day), Observer distance (au)
Earth,   2017-02-28T00:00:00.00,   -0.9269782021580,    0.3492990235594,   -0.0000075101745,   -0.0063468504193,   -0.0161710509877,    0.0000012640916,    0.9906050651960
Earth,   2017-03-01T00:00:00.00,   -0.9331827962568,    0.3330756650502,   -0.0000062833425,   -0.0060620585539,   -0.0162747587417,    0.0000011836396,    0.9908428381524
Earth,   2017-03-02T00:00:00.00,   -0.9391017952574,    0.3167513242660,   -0.0000051539094,   -0.0057756946573,   -0.0163730131616,    0.0000010702420,    0.9910820265278
Earth,   2017-03-03T00:00:00.00,   -0.9447337297630,    0.3003314555563,   -0.0000041515250,   -0.0054879629151,   -0.0164658182467,    0.0000009309173,    0.9913227543871
Earth,   2017-03-04T00:00:00.00,   -0.9500773293575,    0.2838214918400,   -0.0000032976770,   -0.0051990552398,   -0.0165532120510,    0.0000007748259,    0.9915652126815
Earth,   2017-03-05T00:00:00.00,   -0.9551315052781,    0.2672268136089,   -0.0000026040139,   -0.0049091417369,   -0.0166352600076,    0.0000006123188,    0.9918096401494
Earth,   2017-03-06T00:00:00.00,   -0.9598953253926,    0.2505527259108,   -0.0000020716504,   -0.0046183649127,   -0.0167120460088,    0.0000004539564,    0.9920563009105
Earth,   2017-03-07T00:00:00.00,   -0.9643679852104,    0.2338044445588,   -0.0000016914015,   -0.0043268374213,   -0.0167836631222,    0.0000003096476,    0.9923054616382
Earth,   2017-03-08T00:00:00.00,   -0.9685487780639,    0.2169870913403,   -0.0000014447947,   -0.0040346425098,   -0.0168502049734,    0.0000001879575,    0.9925573702811
Earth,   2017-03-09T00:00:00.00,   -0.9724370667693,    0.2001056973670,   -0.0000013056905,   -0.0037418364479,   -0.0169117580984,    0.0000000955799,    0.9928122375088
