Target, Date, X (au), Y (au), Z (au), Xp (au/day), Yp (au/day), Zp (au/day), Observer distance (au)
Jupiter,   2017-02-28T00:00:00.00,   -5.2673136382202,   -1.4189428390538,    0.1237548508308,    0.0018737675949,   -0.0069367523258,   -0.0000131221990,    5.4564921888505
Jupiter,   2017-03-01T00:00:00.00,   -5.2654350683219,   -1.4258782962748,    0.1237416157950,    0.0018833716376,   -0.0069341600013,   -0.0000133478687,    5.4564867233396
Jupiter,   2017-03-02T00:00:00.00,   -5.2635468960759,   -1.4328111548272,    0.1237281551012,    0.0018929722877,   -0.0069315549892,   -0.0000135735149,    5.4564807695943
Jupiter,   2017-03-03T00:00:00.00,   -5.2616491248828,   -1.4397414020257,    0.1237144687731,    0.0019025695289,   -0.0069289372944,   -0.0000137991373,    5.4564743276104
Jupiter,   2017-03-04T00:00:00.00,   -5.2597417581599,   -1.4466690251902,    0.1237005568347,    0.0019121633446,   -0.0069263069222,   -0.0000140247355,    5.4564673973861
Jupiter,   2017-03-05T00:00:00.00,   -5.2578247993408,   -1.4535940116460,    0.1236864193102,    0.0019217537187,   -0.0069236638778,   -0.0000142503094,    5.4564599789220
Jupiter,   2017-03-06T00:00:00.00,   -5.2558982518751,   -1.4605163487237,    0.1236720562242,    0.0019313406350,   -0.0069210081671,   -0.0000144758586,    5.4564520722209
Jupiter,   2017-03-07T00:00:00.00,   -5.2539621192287,   -1.4674360237600,    0.1236574676013,    0.0019409240776,   -0.0069183397959,   -0.0000147013831,    5.4564436772876
Jupiter,   2017-03-08T00:00:00.00,   -5.2520164048830,   -1.4743530240974,    0.1236426534663,    0.0019505040310,   -0.0069156587704,   -0.0000149268826,    5.4564347941289
Jupiter,   2017-03-09T00:00:00.00,   -5.2500611123349,   -1.4812673370848,    0.1236276138444,    0.0019600804799,   -0.0069129650970,   -0.0000151523572,    5.4564254227534
Jupiter,   2017-03-10T00:00:00.00,   -5.2480962450963,   -1.4881789500777,    0.1236123487604,    0.0019696534095,   -0.0069102587824,   -0.0000153778066,    5.4564155631709
Jupiter,   2017-03-11T00:00:00.00,   -5.2461218066937,   -1.4950878504381,    0.1235968582394,    0.0019792228056,   -0.0069075398332,   -0.0000156032311,    5.4564052153924
Jupiter,   2017-03-12T00:00:00.00,   -5.2441378006675,   -1.5019940255349,    0.1235811423065,    0.0019887886545,   -0.0069048082563,   -0.0000158286306,    5.4563943794291
Jupiter,   2017-03-13T00:00:00.00,   -5.2421442305715,   -1.5088974627436,    0.1235652009865,    0.0019983509431,   -0.0069020640582,   -0.0000160540052,    5.4563830552925
Jupiter,   2017-03-14T00:00:00.00,   -5.2401410999721,   -1.5157981494464,    0.1235490343042,    0.0020079096592,   -0.0068993072456,   -0.0000162793552,    5.4563712429929
Jupiter,   2017-03-15T00:00:00.00,   -5.2381284124479,   -1.5226960730319,    0.1235326422842,    0.0020174647911,   -0.0068965378245,   -0.0000165046807,    5.4563589425394
Jupiter,   2017-03-16T00:00:00.00,   -5.2361061715883,   -1.5295912208945,    0.1235160249509,    0.0020270163280,   -0.0068937558005,   -0.0000167299820,    5.4563461539387
Jupiter,   2017-03-17T00:00:00.00,   -5.2340743809936,   -1.5364835804335,    0.1234991823283,    0.0020365642597,   -0.0068909611783,   -0.0000169552591,    5.4563328771943
Jupiter,   2017-03-18T00:00:00.00,   -5.2320330442740,   -1.5433731390529,    0.1234821144406,    0.0020461085763,   -0.0068881539616,   -0.0000171805124,    5.4563191123056
Jupiter,   2017-03-19T00:00:00.00,   -5.2299821650492,   -1.5502598841595,    0.1234648213114,    0.0020556492685,   -0.0068853341532,   -0.0000174057419,    5.4563048592677
Jupiter,   2017-03-20T00:00:00.00,   -5.2279217469484,   -1.5571438031625,    0.1234473029646,    0.0020651863267,   -0.0068825017543,   -0.0000176309476,    5.4562901180704
Jupiter,   2017-03-21T00:00:00.00,   -5.2258517936103,   -1.5640248834712,    0.1234295594242,    0.0020747197413,   -0.0068796567648,   -0.0000178561293,    5.4562748886981
Jupiter,   2017-03-22T00:00:00.00,   -5.2237723086838,   -1.5709031124947,    0.1234115907142,    0.0020842495017,   -0.0068767991834,   -0.0000180812866,    5.4562591711300
Jupiter,   2017-03-23T00:00:00.00,   -5.2216832958287,   -1.5777784776399,    0.1233933968592,    0.0020937755966,   -0.0068739290076,   -0.0000183064191,    5.4562429653406
Jupiter,   2017-03-24T00:00:00.00,   -5.2195847587167,   -1.5846509663107,    0.1233749778844,    0.0021032980132,   -0.0068710462341,   -0.0000185315261,    5.4562262713001
Jupiter,   2017-03-25T00:00:00.00,   -5.2174767010332,   -1.5915205659076,    0.1233563338158,    0.0021128167371,   -0.0068681508590,   -0.0000187566066,    5.4562090889759
Jupiter,   2017-03-26T00:00:00.00,   -5.2153591264787,   -1.5983872638269,    0.1233374646804,    0.0021223317525,   -0.0068652428783,   -0.0000189816596,    5.4561914183340
Jupiter,   2017-03-27T00:00:00.00,   -5.2132320387702,   -1.6052510474611,    0.1233183705062,    0.0021318430419,   -0.0068623222882,   -0.0000192066838,    5.4561732593402
Jupiter,   2017-03-28T00:00:00.00,   -5.2110954416432,   -1.6121119041992,    0.1232990513227,    0.0021413505863,   -0.0068593890857,   -0.0000194316781,    5.4561546119618
Jupiter,   2017-03-29T00:00:00.00,   -5.2089493388527,   -1.6189698214276,    0.1232795071606,    0.0021508543655,   -0.0068564432686,   -0.0000196566410,    5.4561354761692
Jupiter,   2017-03-30T00:00:00.00,   -5.2067937341742,   -1.6258247865312,    0.1232597380517,    0.0021603543585,   -0.0068534848360,   -0.0000198815712,    5.4561158519371
Jupiter,   2017-03-31T00:00:00.00,   -5.2046286314049,   -1.6326767868944,    0.1232397440294,    0.0021698505435,   -0.0068505137880,   -0.0000201064676,    5.4560957392454
Jupiter,   2017-04-01T00:00:00.00,   -5.2024540343638,   -1.6395258099027,    0.1232195251283,    0.0021793428986,   -0.0068475301264,   -0.0000203313288,    5.4560751380803
Jupiter,   2017-04-02T00:00:00.00,   -5.2002699468918,   -1.6463718429436,    0.1231990813839,    0.0021888314016,   -0.0068445338539,   -0.0000205561538,    5.4560540484344
