Target	 Date	 X (au)	 Y (au)	 Z (au)	 Xp (au/day)	 Yp (au/day)	 Zp (au/day)	 Observer distance (au)
Mercury	   2017-02-28T00:00:00.00	0.3083240304	-0.2675876914	-0.0501631296	0.0128726775	0.0225451404	0.0006491183	0.4113188786
Mercury	   2017-03-01T00:00:00.00	0.320523974	-0.2444826893	-0.0494065157	0.011509416	0.0236547863	0.0008649335	0.4061384088
Mercury	   2017-03-02T00:00:00.00	0.3313079082	-0.220298548	-0.0484317137	0.0100403283	0.0247018244	0.0010853991	0.4008017106
Mercury	   2017-03-03T00:00:00.00	0.3405690043	-0.1951027969	-0.0472343814	0.0084635014	0.0256762271	0.0013098751	0.3953269974
Mercury	   2017-03-04T00:00:00.00	0.3481988266	-0.1689735639	-0.045810891	0.006777669	0.0265668138	0.0015375686	0.3897346865
Mercury	   2017-03-05T00:00:00.00	0.3540880887	-0.1420007612	-0.0441584952	0.0049824372	0.0273611878	0.0017675072	0.3840476057
Mercury	   2017-03-06T00:00:00.00	0.3581276578	-0.1142873219	-0.0422755202	0.0030785558	0.0280457003	0.0019985112	0.3782911985
Mercury	   2017-03-07T00:00:00.00	0.3602098534	-0.085950456	-0.0401615877	0.0010682367	0.0286054519	0.0022291648	0.3724937214
Mercury	   2017-03-08T00:00:00.00	0.3602300884	-0.0571228758	-0.0378178654	-0.0010444802	0.0290243521	0.0024577867	0.3666864198
Mercury	   2017-03-09T00:00:00.00	0.3580889001	-0.0279539278	-0.0352473462	-0.0032533151	0.0292852535	0.0026824035	0.3609036684
Mercury	   2017-03-10T00:00:00.00	0.3536944098	0.0013894585	-0.0324551522	-0.0055493024	0.0293701865	0.0029007276	0.3551830557
Mercury	   2017-03-11T00:00:00.00	0.346965241	0.0307221166	-0.0294488562	-0.0079203268	0.029260718	0.0031101437	0.3495653902
Mercury	   2017-03-12T00:00:00.00	0.3378338975	0.0598404199	-0.0262388112	-0.0103506704	0.0289384599	0.0033077081	0.3440945995
Mercury	   2017-03-13T00:00:00.00	0.3262505731	0.0885226518	-0.0228384707	-0.0128206119	0.0283857475	0.0034901679	0.3388174908
Mercury	   2017-03-14T00:00:00.00	0.3121873126	0.1165301424	-0.01926468	-0.0153061346	0.027586498	0.0036540029	0.3337833431
Mercury	   2017-03-15T00:00:00.00	0.2956423832	0.1436093535	-0.0155379082	-0.0177788094	0.0265272421	0.0037954995	0.3290432977
Mercury	   2017-03-16T00:00:00.00	0.2766446439	0.1694950692	-0.0116823919	-0.0202059307	0.0251982988	0.0039108585	0.3246495276
