id	mass (Kg)	x0 (au)	y0 (au)	z0 (au)	vx0 (au/day)	vy0 (au/day)	vz0 (au/day)
0	1.99E+30	0	0	0	0	0	0
1	3.29E+23	0.1200366777	-0.4342021155	-0.0464506365	0.0214750967	0.0089243146	-0.0012453385
2	4.87E+24	-0.3953292569	0.5991537398	0.0309793926	-0.0169516144	-0.0112505989	0.000825595
3	5.97E+24	-0.4887657334	0.8540100951	-2.662889E-07	-0.0152116481	-0.0086040014	5.939427E-07
4	6.42E+23	0.1550675314	1.547416661	0.0285741673	-0.0133958954	0.0025854326	0.000383597
5	1.90E+27	-4.4401825418	-3.196823192	0.1116970511	0.0043465463	-0.0057537775	-7.32346054E-05
6	5.68E+26	-5.5544824785	7.2205169582	0.0948592939	-0.004718279	-0.003419407	0.0002472791
7	8.68E+25	18.897806757	-6.7692987282	-0.2699591057	0.0013000562	0.0035134111	-3.7515195E-06
8	1.02E+26	22.0500163407	-20.4267767969	-0.0864149867	0.0021152016	0.0023152259	-0.000096469
9	1.31E+22	-2.9839552344	-30.6388292975	4.1400187676	0.0031855383	-0.0008800995	-0.0008271185

