Target	 Date	 X (au)	 Y (au)	 Z (au)	 Xp (au/day)	 Yp (au/day)	 Zp (au/day)	 Observer distance (au)
Jupiter	   2006-01-20T00:00:00.00	-4.4018948737	-3.1903296603	0.1117463072	0.0043380512	-0.0057601861	-7.31608464E-05	5.4375885333
Jupiter	   2006-01-21T00:00:00.00	-4.3975527681	-3.1960869067	0.1116730434	0.0043461588	-0.0057543048	-7.33667055E-05	5.4374546188
Jupiter	   2006-01-22T00:00:00.00	-4.3932025585	-3.2018382662	0.1115995738	0.0043542591	-0.0057484124	-7.35724452E-05	5.4373202469
Jupiter	   2006-01-23T00:00:00.00	-4.3888442524	-3.2075837279	0.1115258986	0.0043623519	-0.005742509	-7.3778065E-05	5.4371854179
Jupiter	   2006-01-24T00:00:00.00	-4.3844778571	-3.2133232806	0.1114520177	0.0043704374	-0.0057365946	-7.39835646E-05	5.4370501319
Jupiter	   2006-01-25T00:00:00.00	-4.38010338	-3.2190569134	0.1113779315	0.0043785154	-0.0057306691	-7.41889435E-05	5.4369143891
Jupiter	   2006-01-26T00:00:00.00	-4.3757208287	-3.2247846151	0.1113036399	0.004386586	-0.0057247325	-7.43942013E-05	5.4367781897
Jupiter	   2006-01-27T00:00:00.00	-4.3713302104	-3.2305063748	0.1112291431	0.0043946492	-0.005718785	-7.45993378E-05	5.4366415339
Jupiter	   2006-01-28T00:00:00.00	-4.3669315328	-3.2362221813	0.1111544412	0.0044027049	-0.0057128264	-7.48043525E-05	5.4365044219
Jupiter	   2006-01-29T00:00:00.00	-4.3625248032	-3.2419320238	0.1110795344	0.0044107531	-0.0057068568	-7.5009245E-05	5.4363668537
Jupiter	   2006-01-30T00:00:00.00	-4.3581100291	-3.2476358912	0.1110044228	0.0044187938	-0.0057008761	-0.000075214	5.4362288297
Jupiter	   2006-01-31T00:00:00.00	-4.3536872181	-3.2533337724	0.1109291064	0.004426827	-0.0056948845	-7.54186621E-05	5.4360903501
Jupiter	   2006-02-01T00:00:00.00	-4.3492563776	-3.2590256565	0.1108535855	0.0044348527	-0.0056888819	-7.56231861E-05	5.4359514149
Jupiter	   2006-02-02T00:00:00.00	-4.3448175153	-3.2647115325	0.1107778601	0.0044428708	-0.0056828683	-7.58275865E-05	5.4358120245
Jupiter	   2006-02-03T00:00:00.00	-4.3403706386	-3.2703913895	0.1107019304	0.0044508814	-0.0056768437	-7.60318632E-05	5.435672179
Jupiter	   2006-02-04T00:00:00.00	-4.3359157551	-3.2760652163	0.1106257964	0.0044588844	-0.0056708082	-0.000076236	5.4355318786
Jupiter	   2006-02-05T00:00:00.00	-4.3314528724	-3.2817330022	0.1105494584	0.0044668798	-0.0056647617	-0.00007644	5.4353911236
Jupiter	   2006-02-06T00:00:00.00	-4.3269819981	-3.287394736	0.1104729164	0.0044748676	-0.0056587042	-7.6643948E-05	5.435249914
Jupiter	   2006-02-07T00:00:00.00	-4.3225031398	-3.293050407	0.1103961705	0.0044828477	-0.0056526359	-7.68477272E-05	5.4351082502
Jupiter	   2006-02-08T00:00:00.00	-4.3180163052	-3.2987000041	0.110319221	0.0044908203	-0.0056465566	-7.70513817E-05	5.4349661323
Jupiter	   2006-02-09T00:00:00.00	-4.3135215018	-3.3043435165	0.1102420678	0.0044987852	-0.0056404663	-7.72549115E-05	5.4348235606
Jupiter	   2006-02-10T00:00:00.00	-4.3090187373	-3.3099809331	0.1101647112	0.0045067424	-0.0056343652	-7.74583164E-05	5.4346805352
Jupiter	   2006-02-11T00:00:00.00	-4.3045080195	-3.3156122432	0.1100871512	0.004514692	-0.0056282532	-7.76615967E-05	5.4345370565
Jupiter	   2006-02-12T00:00:00.00	-4.2999893559	-3.3212374359	0.110009388	0.0045226339	-0.0056221303	-7.78647523E-05	5.4343931245
Jupiter	   2006-02-13T00:00:00.00	-4.2954627542	-3.3268565002	0.1099314218	0.0045305681	-0.0056159965	-7.80677835E-05	5.4342487395
Jupiter	   2006-02-14T00:00:00.00	-4.2909282223	-3.3324694252	0.1098532525	0.0045384946	-0.0056098518	-7.82706904E-05	5.4341039018
Jupiter	   2006-02-15T00:00:00.00	-4.2863857677	-3.3380762002	0.1097748804	0.0045464133	-0.0056036963	-7.84734733E-05	5.4339586116
Jupiter	   2006-02-16T00:00:00.00	-4.2818353982	-3.3436768143	0.1096963056	0.0045543244	-0.00559753	-7.86761323E-05	5.433812869
Jupiter	   2006-02-17T00:00:00.00	-4.2772771216	-3.3492712565	0.1096175282	0.0045622277	-0.0055913528	-7.88786677E-05	5.4336666743
Jupiter	   2006-02-18T00:00:00.00	-4.2727109455	-3.3548595162	0.1095385483	0.0045701232	-0.0055851648	-7.90810796E-05	5.4335200276
Jupiter	   2006-02-19T00:00:00.00	-4.2681368777	-3.3604415825	0.1094593661	0.004578011	-0.0055789659	-7.9283368E-05	5.4333729293
Jupiter	   2006-02-20T00:00:00.00	-4.263554926	-3.3660174445	0.1093799816	0.0045858911	-0.0055727562	-7.94855328E-05	5.4332253795
